id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Dixons Bakery,436 Hessle Road,HU3 3SE,53.7462619,-0.3418901,RANGE_INTERPOLATED,20-Jul-09,80,B Good,,
,Dolce,66 Chanterlands Avenue,HU5 3TT,53.7724892,-0.3540708,RANGE_INTERPOLATED,22-Sep-09,55,D Poor,,
,Dominos,136 County Road South,HU5 5NA,53.7649497,-0.3521825,RANGE_INTERPOLATED,10-Dec-07,100,A Excellent,,
,Domino's,439 Beverley Road,HU5 1LX,53.7446476,-0.4019135,RANGE_INTERPOLATED,23-Sep-08,90,A Excellent,,
,Don Dixon,236 Holderness Road,HU9 2EU,53.7561152,-0.3740283,RANGE_INTERPOLATED,02-Dec-09,55,D Poor,,
,Dorchester Primary School,Dorchester Road,HU7 6AH,53.734227,-0.3711794,RANGE_INTERPOLATED,29-Feb-08,80,B Good,,
,Dorchester Community Nursery,Dorchester Road,HU7 6AH,53.754146,-0.3736277,RANGE_INTERPOLATED,08-Feb-10,75,B Good,,
,Dove House Hospice,Chamberlain Road,HU8 8DH,53.7550361,-0.3995215,RANGE_INTERPOLATED,09-Sep-08,95,A Excellent,,
,Dragon Boat,272 Bricknell Avenue,HU5 4QG,53.7676937,-0.3537381,RANGE_INTERPOLATED,26-Oct-09,85,B Good,,
,Drake,Bodmin Road,HU7 4HF,53.7541911,-0.3128074,RANGE_INTERPOLATED,13-Apr-07,75,B Good,,
,Dram Shop,George Street,HU1 3AJ,53.7806072,-0.3193921,GEOMETRIC_CENTER,06-Dec-04,70,C Acceptable,,
,Dreamland,249 Boothferry Road,HU4 6EY,53.7806072,-0.3193921,GEOMETRIC_CENTER,28-Oct-09,60,C Acceptable,,
,Drinkall Newsagents,11 Grimston Street,HU1 3HG,53.764694,-0.3216732,GEOMETRIC_CENTER,04-Mar-09,75,B Good,,
,Drum & Cymbals,26 Sibelius Road,HU4 7NH,53.7671222,-0.388049,RANGE_INTERPOLATED,04-Jun-03,70,C Acceptable,,
,Drypool Feast,3 Church Street,HU9 1DU,53.794024,-0.334915,GEOMETRIC_CENTER,09-Apr-09,75,B Good,,
,Duice,4 Trinity House Lane,HU1 2JA,53.7467579,-0.3347898,GEOMETRIC_CENTER,17-Mar-09,60,C Acceptable,,
,Duke Of Edinburgh,Great Union Street,HU9 1UA,53.7387079,-0.396544,RANGE_INTERPOLATED,25-Jan-08,85,B Good,,
